文章标题,抽象的
用于医学图像分割的多尺度自引导注意,尽管卷积神经网络 (CNN) 正在推动医学图像分割的进步，但标准模型仍然存在一些缺点。首先，使用多尺度方法，即编码器-解码器架构，会导致信息的冗余使用，其中类似的低级特征在多个尺度上被多次提取。其次，远程特征依赖没有被有效地建模，导致与每个语义类相关的非最优判别特征表示。在本文中，我们尝试通过使用引导式自我注意机制来捕获更丰富的上下文依赖关系，从而克服所提出的架构的这些限制。这种方法能够将局部特征与其相应的全局依赖关系集成，并以自适应的方式突出相互依赖的通道图。此外，不同模块之间的额外损失引导注意力机制忽略不相关的信息，并通过强调相关的特征关联来关注图像的更具判别性的区域。我们在三个不同数据集的语义分割背景下评估所提出的模型：腹部器官、心血管结构和脑肿瘤。一系列消融实验支持了这些注意力模块在所提出的架构中的重要性。此外，与其他最先进的分割网络相比，我们的模型产生了更好的分割性能，提高了预测的准确性，同时降低了标准偏差。这证明了我们的方法在生成精确可靠的医学图像自动分割方面的效率。我们的代码在以下网址公开：<uri>https://github.com/sinAshish/Multi-Scale-Attention</uri>。
相关联合聚类的运动分割和多目标跟踪,计算机视觉模型通常定义为低级概念（例如要分组的像素）或高级概念（例如要检测和跟踪的语义对象）。将自下而上的分组与自上而下的检测和跟踪相结合，虽然非常可取，但却是一个具有挑战性的问题。我们将这个联合问题描述为一个协同聚类问题，它是现有算法的原则性和可处理性。我们通过将通过点轨迹分组的自下而上运动分割与通过边界框聚类的高级多对象跟踪相结合来证明这种方法的有效性。我们表明，在 FBMS59 运动分割基准方面，解决联合问题在低层次上是有益的，在多目标跟踪基准 MOT15、MOT16 和 MOT17 挑战方面，在高层次上是有益的，并且是在某些指标上是最先进的。
基于全卷积网络的航空图像道路提取集成方法,这封信提出了一种基于全卷积网络（FCNs）和集成策略的道路提取方法，以解决航拍图像中道路和背景区域的不平衡问题。通过利用 FCN，我们将道路提取视为语义分割问题。在网络中，由于道路和背景的不平衡，损失函数的权重被修改，如果道路被错误地分类为背景，将会有更大的惩罚。由于很难确定给定图像的损失函数的适当权重，因此提出了一种基于空间一致性（SC）的集成方法。从具有不同损失函数的 FCN 获得的结果图融合在我们提出的集成策略中，这也避免了权重的确定。我们的方法使用马萨诸塞州道路数据集进行了测试，根据我们的实验结果，与基础全卷积模型相比，它被证明是有效的。
将点与 3D 中的标签联系起来：点云语义分割的回顾,3D 点云语义分割（PCSS）和点云分割（PCS）随着深度学习技术提供的可能性和在与遥感、计算机视觉和机器人相关的应用中的有用性而成熟，正引起越来越多的兴趣。本文总结了有关 PCSS 和 PCS 最新发展的可用数据集和相关研究。
深度学习语义分割的简要概述,
Mask TextSpotter：一种端到端的可训练神经网络，用于发现具有任意形状的文本,以端到端的训练方式统一文本检测和文本识别已成为野外阅读文本的新趋势，因为这两个任务具有高度相关性和互补性。在本文中，我们研究了场景文本定位问题，旨在同时检测和识别自然图像中的文本。提出了一种名为 Mask TextSpotter 的端到端可训练神经网络。与之前的文本检测器遵循由提议生成网络和序列到序列识别网络组成的管道，Mask TextSpotter 享有简单流畅的端到端学习过程，其中可以实现检测和识别通过语义分割直接从二维空间。此外，提出了一个空间注意模块来提高性能和通用性。受益于所提出的检测和识别二维表示，它可以轻松处理不规则形状的文本实例，例如弯曲文本。我们在四个英语数据集和一个多语言数据集上对其进行评估，在检测和端到端文本识别任务中实现了始终优于最先进方法的性能。此外，我们进一步研究了我们方法的识别模块，它在常规和不规则文本数据集上的场景文本识别显着优于最先进的方法。
通过自我监督的无监督域内自适应语义分割,基于卷积神经网络的方法在语义分割方面取得了显着进展。然而，这些方法严重依赖于劳动密集型的注释数据。为了应对这一限制，从图形引擎生成的自动注释数据用于训练分割模型。然而，从合成数据训练的模型很难转移到真实图像上。为了解决这个问题，以前的工作已经考虑将模型从源数据直接调整到未标记的目标数据（以减少域间差距）。尽管如此，这些技术并未考虑目标数据本身之间的大分布差距（域内差距）。在这项工作中，我们提出了一种两步自监督域自适应方法，以最小化域间和域内的差距。首先，我们对模型进行域间自适应，从这种自适应中，我们使用基于熵的排序函数将目标域分为简单和硬分割。最后，为了减少域内差距，我们建议采用从易到难子域的自我监督适应技术。许多基准数据集的实验结果突出了我们的方法对现有最先进方法的有效性。源代码可在 https://github.com/feipan664/IntraDA.git 获得。
Kimera：实时度量语义定位和映射的开源库,我们为实时度量语义视觉惯性同步定位和映射 (SLAM) 提供开源 C++ 库。该库通过启用 3D 网格重建和语义标记，超越了现有的视觉和视觉惯性 SLAM 库（例如，ORB-SLAM、VINS-Mono、OKVIS、ROVIO）。 Kimera 在设计时考虑了模块化，并具有四个关键组件：用于快速准确状态估计的视觉惯性里程计 (VIO) 模块、用于全局轨迹估计的稳健位姿图优化器、用于快速网格重建的轻量级 3D 网格器模块，以及一个密集的 3D 度量语义重建模块。这些模块可以单独运行或组合运行，因此 Kimera 可以轻松回退到最先进的 VIO 或完整的 SLAM 系统。 Kimera 在 CPU 上实时运行，并从语义标记的图像中生成 3D 度量语义网格，这可以通过现代深度学习方法获得。我们希望 Kimera 提供的灵活性、计算效率、稳健性和准确性将为未来的度量语义 SLAM 和感知研究奠定坚实的基础，并允许研究人员跨多个领域（例如，VIO、SLAM、3D 重建、分割）无需从头开始即可对自己的工作进行基准测试和原型设计。
ConvPoint：点云处理的连续卷积,与图像相反，点云是非结构化和无序的数据。因此，大多数为图像开发的机器学习方法不能直接转移到点云。在本文中，我们提出了离散卷积神经网络 (CNN) 的泛化，以便通过用连续内核替换离散内核来处理点云。这个公式很简单，允许任意大小的点云，并且可以很容易地用于设计类似于 2D CNN 的神经网络。我们展示了各种架构的实验结果，突出了所提出方法的灵活性。与大规模点云的形状分类、部分分割和语义分割的最新技术相比，我们获得了具有竞争力的结果。 (C) 2020 Elsevier Ltd. 保留所有权利。
用于医学图像分割的 DENSE-INception U -net,
CGNet：用于语义分割的轻量级上下文引导网络,在移动设备上应用语义分割模型的需求一直在快速增长。当前最先进的网络具有大量参数，因此不适合移动设备，而其他小内存占用模型遵循分类网络的精神，忽略了语义分割的固有特征。为了解决这个问题，我们提出了一种新颖的上下文引导网络（CGNet），它是一种用于语义分割的轻量级高效网络。我们首先提出了上下文引导（CG）块，它有效地学习了局部特征和周围上下文的联合特征，并进一步改进了与全局上下文的联合特征。基于 CG 块，我们开发了 CGNet，它在网络的所有阶段捕获上下文信息。 CGNet 是专门为利用语义分割的固有属性和提高分割精度而量身定制的。此外，CGNet 经过精心设计，可减少参数数量并节省内存占用。在相同数量的参数下，所提出的 CGNet 显着优于现有的轻量级分割网络。在 Cityscapes 和 CamVid 数据集上的大量实验验证了所提出方法的有效性。具体来说，在没有任何后处理和多尺度测试的情况下，所提出的 CGNet 在 Cityscapes 上实现了 64.8% 的平均 IoU，且参数少于 0.5 M。
基于超像素语义分类的乳腺超声图像分割,乳腺癌是对女性的巨大威胁。超声成像已广泛应用于乳腺癌的诊断。由于图像质量差，乳腺超声（BUS）图像的分割仍然是一项非常具有挑战性的任务。此外，BUS图像分割是进一步分析的关键步骤。在本文中，我们提出了一种通过语义分类和合并补丁来分割乳腺肿瘤的新方法。所提出的方法首先选择两个对角点来裁剪原始图像上的感兴趣区域（ROI）。然后，采用直方图均衡化、双边滤波器和金字塔均值移位滤波器对图像进行增强。使用简单的线性迭代聚类 (SLIC) 将裁剪后的图像划分为许多超像素。此外，从超像素中提取一些特征，可以创建词袋模型。初始分类可以通过反向传播神经网络（BPNN）获得。为了细化初步结果，使用k近邻（KNN）进行重新分类并获得最终结果。为了验证所提出的方法，我们收集了一个包含 320 个案例的 BUS 数据集。我们的方法的分割结果已经与五种现有方法获得的相应结果进行了比较。实验结果表明，与传统方法相比，我们的方法在 TP 和 FP 方面取得了具有竞争力的结果，并在综合考虑所有指标的情况下对手工标记的肿瘤轮廓产生了良好的近似（F1-score = 89.87% +/- 4.05 %，平均径向误差 = 9.95% +/- 4.42%）。 (C) 2020 Elsevier BV 保留所有权利。
